id;genres;id_imdb;popularity;title;vote_average;vote_count;director
644;['action', 'adventure', 'thriller'];5551;15772081;Space Cowboys;63;403;clinteastwood
645;['action', 'adventure', 'thriller'];9350;2,61991E+16;Cliffhanger;61;588;rennyharlin
646;['action', 'adventure', 'drama'];9208;22769108;Broken Arrow;57;453;johnwoo
647;['fantasy', 'comedy', 'family'];4244;1,82818E+16;The Kid;60;238;jonturteltaub
648;['drama', 'history', 'thriller'];1852;24697533;World Trade Center;59;447;oliverstone
649;['drama', 'romance'];11820;19718544;Mona Lisa Smile;65;393;mikenewell
650;['comedy'];76493;3,13491E+16;The Dictator;59;1743;larrycharles
651;['mystery', 'drama'];345;27870312;Eyes Wide Shut;71;1234;stanleykubrick
652;['comedy', 'drama', 'family'];196867;33439187;Annie;60;466;willgluck
653;['romance', 'comedy', 'crime'];256591;5,9634E+16;Focus;67;2542;glennficarra
654;['action', 'comedy', 'romance'];59962;3,89943E+16;This Means War;59;1389;mcg
655;['sciencefiction', 'action', 'horror'];36648;49660055;Blade: Trinity;57;1252;davids.goyer
656;['action', 'thriller'];1880;11743085;Red Dawn;64;215;johnmilius
657;['comedy', 'drama'];9440;9110247;Primary Colors;61;94;mikenichols
658;['action', 'horror', 'sciencefiction'];71679;6227675;Resident Evil: Retribution;56;1600;paulw.s.anderson
659;['action', 'thriller', 'sciencefiction'];10483;4257877;Death Race;60;1175;paulw.s.anderson
660;['crime', 'action', 'mystery'];11412;15858629;The Long Kiss Goodnight;65;314;rennyharlin
661;['action', 'adventure', 'drama'];11983;14866901;Proof of Life;60;208;taylorhackford
662;['family', 'fantasy', 'sciencefiction'];6795;1,51942E+16;Zathura: A Space Adventure;61;779;jonfavreau
663;['drama'];550;1,46757E+16;Fight Club;83;9413;davidfincher
664;['drama'];11170;8629665;We Are Marshall;67;186;mcg
665;['action', 'adventure', 'comedy'];9292;16803457;Hudson Hawk;54;269;michaellehmann
666;['action', 'adventure', 'comedy'];10783;2952595;Lucky Numbers;49;52;noraephron
667;['horror', 'thriller'];100241;3,13247E+16;I, Frankenstein;50;687;stuartbeattie
668;['crime', 'drama', 'family'];257;20415572;Oliver Twist;67;274;romanpolanski
669;['action', 'fantasy'];9947;28613892;Elektra;48;575;robbowman
670;['crime', 'thriller'];189;85428395;Sin City: A Dame to Kill For;63;1286;robertrodriguez
671;['drama', 'romance'];12618;4137237;Random Hearts;53;63;sydneypollack
672;['adventure', 'drama'];253412;6,0247E+16;Everest;67;1772;baltasarkormÃ¡kur
673;['crime', 'fantasy', 'drama'];1427;42551902;Perfume: The Story of a Murderer;71;1165;tomtykwer
674;['comedy', 'crime', 'sciencefiction'];818;40137264;Austin Powers in Goldmember;59;979;jayroach
675;['animation', 'action', 'family'];16577;2,48571E+16;Astro Boy;61;409;davidbowers
676;['adventure', 'sciencefiction'];329;40413191;Jurassic Park;76;4856;stevenspielberg
677;['drama', 'action', 'western'];12160;1,38593E+16;Wyatt Earp;65;202;lawrencekasdan
678;['action', 'drama', 'thriller'];9331;1,88325E+16;Clear and Present Danger;64;386;phillipnoyce
679;['action', 'drama', 'adventure'];300168;9,56888E+15;Dragon Blade;59;145;daniellee
680;['comedy', 'crime'];9072;1,24215E+16;Little Man;53;261;keenenivorywayans
681;['action', 'drama', 'thriller'];3536;18096884;U-571;61;340;jonathanmostow
682;['comedy', 'drama', 'romance'];9087;11056763;The American President;65;195;robreiner
683;['comedy', 'romance'];12177;13218008;The Love Guru;43;242;marcoschnabel
684;['action', 'adventure', 'comedy'];12138;11262655;3000 Miles to Graceland;58;178;demianlichtenstein
685;['crime', 'drama', 'mystery'];273248;68717016;The Hateful Eight;76;4274;quentintarantino
686;['action', 'comedy', 'drama'];9955;19412028;Blades of Glory;59;569;joshgordon
687;['animation', 'comedy', 'family'];50359;16791058;Hop;55;331;timhill
688;['action', 'adventure', 'war'];1271;65197968;300;70;4997;zacksnyder
689;['comedy', 'romance'];693;32829538;Meet the Fockers;61;1373;jayroach
690;['comedy', 'family'];14306;3,09512E+16;Marley & Me;69;1343;davidfrankel
691;['fantasy', 'drama', 'crime'];497;103698022;The Green Mile;82;4048;frankdarabont
692;['action', 'adventure', 'comedy'];11199;31719463;Wild Hogs;56;648;waltbecker
693;['animation', 'family', 'comedy'];9982;47973995;Chicken Little;56;944;markdindal
694;['mystery', 'thriller', 'drama'];210577;143041543;Gone Girl;79;5862;davidfincher
695;['action', 'drama', 'mystery'];2501;8,64768E+15;The Bourne Identity;73;3583;dougliman
696;['adventure', 'action', 'thriller'];710;59824565;GoldenEye;66;1174;martincampbell
697;['crime', 'drama', 'mystery'];2275;18345613;The General's Daughter;61;205;simonwest
698;['comedy', 'drama'];37165;56488027;The Truman Show;78;4537;peterweir
699;['adventure', 'animation', 'drama'];9837;29464852;The Prince of Egypt;68;817;simonwells
700;['comedy', 'family'];10708;18106021;Daddy Day Care;56;506;stevecarr
701;['action', 'comedy', 'crime'];136400;4,28814E+16;2 Guns;66;1589;baltasarkormÃ¡kur
702;['comedy', 'family'];10992;18735024;Cats & Dogs;50;352;lawrenceguterman
703;['action', 'crime'];9654;62766854;The Italian Job;66;1919;f.garygray
704;['romance', 'comedy'];2642;2,41536E+16;Two Weeks Notice;59;487;marclawrence
705;['adventure', 'animation', 'comedy'];8916;4,15157E+16;Antz;60;1272;ericdarnell
706;['comedy', 'romance'];19899;2,66765E+16;Couples Retreat;53;588;peterbillingsley
707;['adventure'];2119;16278022;Days of Thunder;59;353;tonyscott
708;['comedy'];9641;1,8831E+16;Cheaper by the Dozen 2;57;526;adamshankman
709;['action'];294254;113161483;Maze Runner: The Scorch Trials;64;3040;wesball
710;['drama'];38167;28800112;Eat Pray Love;58;636;ryanmurphy
711;['comedy', 'drama', 'romance'];5994;19705489;The Family Man;65;521;brettratner
712;['action', 'adventure', 'comedy'];39514;41430245;RED;66;2808;robertschwentke
713;['drama'];9563;23127561;Any Given Sunday;68;422;oliverstone
714;['drama', 'romance'];547;12867352;The Horse Whisperer;67;292;robertredford
715;['drama', 'crime', 'thriller'];1538;44815022;Collateral;70;1451;michaelmann
716;['action', 'fantasy', 'adventure'];9334;37537093;The Scorpion King;53;779;chuckrussell
717;['drama', 'action', 'thriller'];11128;1099991;Ladder 49;62;207;jayrussell
718;['crime', 'drama', 'thriller'];75780;56868399;Jack Reacher;63;2998;christophermcquarrie
719;['action', 'sciencefiction', 'thriller'];8914;22991269;Deep Blue Sea;56;604;rennyharlin
720;['music', 'documentary'];13576;15798622;This Is It;67;247;kennyortega
721;['drama', 'thriller', 'sciencefiction'];39538;38820858;Contagion;62;1325;stevensoderbergh
722;['comedy', 'adventure', 'crime'];10628;10292864;Kangaroo Jack;43;203;davidmcnally
723;['animation', 'family'];14836;5,1146E+16;Coraline;73;1386;henryselick
724;['thriller', 'sciencefiction'];8645;20501582;The Happening;49;950;m.nightshyamalan
725;['action', 'drama', 'thriller'];9509;45299089;Man on Fire;73;1553;tonyscott
726;['comedy', 'family'];10067;4,28062E+15;The Shaggy Dog;45;137;brianrobbins
727;['comedy', 'crime'];9384;2,88488E+16;Starsky & Hutch;56;644;toddphillips
728;['family', 'comedy'];9279;22501041;Jingle All the Way;55;575;brianlevant
729;['fantasy', 'action', 'sciencefiction'];1487;47479755;Hellboy;65;2225;guillermodeltoro
730;['drama'];9422;10147321;A Civil Action;61;109;stevenzaillian
731;['family', 'animation', 'adventure'];77174;39539045;ParaNorman;67;789;samfell
732;['action', 'thriller', 'adventure'];4824;19747459;The Jackal;61;527;michaelcaton-jones
733;['action', 'adventure', 'mystery'];9620;29018826;Paycheck;59;581;johnwoo
734;['drama', 'romance'];9302;4801849;Up Close & Personal;59;50;jonavnet
735;['adventure', 'animation', 'family'];10199;16493576;The Tale of Despereaux;58;258;robertstevenhagen
736;['thriller', 'action', 'comedy'];10771;21549232;The Tuxedo;53;483;kevindonovan
737;['action', 'thriller'];3512;13080725;Under Siege 2: Dark Territory;56;210;geoffmurphy
738;['action', 'drama', 'thriller'];137094;42538258;Jack Ryan: Shadow Recruit;59;1173;kennethbranagh
739;['drama', 'comedy'];274479;29876507;Joy;64;1581;davido.russell
740;['action', 'crime', 'thriller'];267860;6,18495E+16;London Has Fallen;58;1621;babaknajafi
741;['sciencefiction', 'horror', 'action'];8078;3744963;Alien: Resurrection;59;1365;jean-pierrejeunet
742;['action', 'drama', 'mystery'];7485;37378081;Shooter;69;1462;antoinefuqua
743;['animation', 'comedy', 'family'];170687;30656345;The Boxtrolls;66;668;anthonystacchi
744;['drama', 'fantasy', 'comedy'];6435;15142701;Practical Magic;63;338;griffindunne
745;['adventure', 'animation', 'comedy'];137106;5,95479E+16;The Lego Movie;75;3070;phillord
746;['action', 'comedy'];10040;19998581;Miss Congeniality 2: Armed and Fabulous;53;425;johnpasquin
747;['adventure', 'action', 'fantasy'];6278;2,76151E+16;Reign of Fire;60;669;robbowman
748;['crime', 'drama', 'action'];82682;2,90412E+16;Gangster Squad;62;1778;rubenfleischer
749;['comedy', 'adventure'];17610;25293538;Year One;46;524;haroldramis
750;['drama', 'history'];22954;2385119;Invictus;70;1125;clinteastwood
751;['action'];16995;21685719;State of Play;67;484;kevinmacdonald
752;['romance', 'comedy', 'crime'];16558;13630049;Duplicity;57;201;tonygilroy
753;['comedy', 'drama', 'family'];9849;680692;My Favorite Martian;51;80;donaldpetrie
754;['action', 'thriller', 'crime'];5820;15352807;The Sentinel;58;225;clarkjohnson
755;['sciencefiction', 'animation', 'family'];16866;23661071;Planet 51;56;556;jorgeblanco
756;['sciencefiction', 'action', 'adventure'];201;2,16055E+16;Star Trek: Nemesis;61;479;stuartbaird
757;['crime', 'comedy', 'romance'];11775;22620125;Intolerable Cruelty;58;391;joelcoen
758;['drama', 'romance'];87825;18587114;Trouble with the Curve;66;366;robertlorenz
759;['crime', 'drama', 'mystery'];12201;24657931;Edge of Darkness;62;487;martincampbell
760;['horror', 'mystery', 'thriller'];11015;12621769;The Relic;58;130;peterhyams
761;['comedy', 'crime'];9932;2108952;Analyze That;57;380;haroldramis
762;['action', 'crime', 'drama'];13389;1,83802E+16;Righteous Kill;59;375;jonavnet
763;['action', 'crime', 'drama'];8838;1,88778E+16;Mercury Rising;60;368;haroldbecker
764;['drama'];17332;1,72993E+16;The Soloist;66;234;joewright
765;['fantasy', 'drama'];4958;16848899;The Legend of Bagger Vance;63;251;robertredford
766;['drama', 'music'];786;21547446;Almost Famous;74;797;cameroncrowe
767;['animation', 'comedy', 'family'];9513;16930969;Garfield: A Tail of Two Kitties;51;464;timhill
768;['action', 'adventure', 'crime'];11679;36689223;xXx: State of the Union;47;549;leetamahori
769;['action', 'sciencefiction', 'fantasy'];38321;2,83509E+16;Priest;54;692;scottstewart
770;['family', 'animation', 'adventure'];14411;18815442;Sinbad: Legend of the Seven Seas;66;372;timjohnson
771;['horror', 'sciencefiction', 'mystery'];8413;29787135;Event Horizon;65;742;paulw.s.anderson
772;['drama'];10052;8927137;Dragonfly;61;204;tomshadyac
773;['drama'];9676;15213484;The Black Dahlia;57;287;briandepalma
774;['action', 'adventure', 'drama'];9664;13155999;Flyboys;63;271;tonybill
775;['action', 'drama', 'thriller'];2100;15433244;The Last Castle;70;285;rodlurie
776;['horror', 'sciencefiction', 'thriller'];10384;5762037;Supernova;49;109;walterhill
777;['drama', 'fantasy', 'mystery'];137321;22736038;Winter's Tale;60;487;akivagoldsman
778;['action', 'adventure', 'drama'];123553;45514031;The Mortal Instruments: City of Bones;62;1602;haraldzwart
779;['comedy', 'sciencefiction', 'adventure'];11260;18676291;Meet Dave;50;371;brianrobbins
780;['drama', 'horror', 'thriller'];9009;1,43765E+16;Dark Water;53;274;waltersalles
781;['comedy'];11374;14298297;Edtv;57;166;ronhoward
782;['adventure', 'family', 'fantasy'];2309;27018886;Inkheart;60;592;iainsoftley
783;['action', 'comedy', 'thriller'];8285;1484856;The Spirit;47;320;frankmiller
784;['comedy', 'adventure'];210860;5,24175E+16;Mortdecai;54;1055;davidkoepp
785;['adventure', 'fantasy', 'action'];2312;15406173;In the Name of the King: A Dungeon Siege Tale;41;224;uweboll
786;['drama', 'romance', 'adventure'];9839;6523472;Beyond Borders;67;110;martincampbell
787;['action', 'adventure', 'fantasy'];381902;4,72629E+16;The Monkey King 2;60;24;soicheang
788;['action', 'history', 'war'];13922;8,92322E+15;The Great Raid;68;91;johndahl
789;['action', 'adventure', 'comedy'];293660;5,1457E+15;Deadpool;74;10995;timmiller
790;['drama', 'comedy'];9713;9265672;Holy Man;49;111;stephenherek
791;['war', 'action'];190859;8753437;American Sniper;74;4469;clinteastwood
792;['adventure', 'horror', 'comedy'];257445;45351617;Goosebumps;62;995;robletterman
793;['comedy', 'fantasy', 'romance'];9007;1343573;Just Like Heaven;65;579;markwaters
794;['sciencefiction', 'comedy', 'family'];889;6248309;The Flintstones in Viva Rock Vegas;44;134;brianlevant
795;['action', 'adventure', 'thriller'];1370;31294717;Rambo III;57;690;petermacdonald
796;['comedy', 'romance', 'drama'];4942;7,73928E+15;Leatherheads;57;130;georgeclooney
797;['comedy', 'western'];347969;19694695;The Ridiculous 6;49;388;frankcoraci
798;['comedy'];24438;14403696;Did You Hear About the Morgans?;51;276;marclawrence
799;['comedy'];116741;1551497;The Internship;61;1658;shawnlevy
800;['action', 'adventure', 'horror'];35791;2143764;Resident Evil: Afterlife;58;1363;paulw.s.anderson
801;['drama', 'action', 'adventure'];72431;1229603;Red Tails;59;178;anthonyhemingway
802;['drama', 'horror', 'mystery'];1813;338473;The Devil's Advocate;72;1374;taylorhackford
803;['comedy'];87428;21723897;That's My Boy;55;453;seananders
804;['fantasy'];8840;3,1792E+16;DragonHeart;64;535;robcohen
805;['action', 'comedy', 'crime'];10589;14113066;After the Sunset;60;226;brettratner
806;['action', 'fantasy', 'thriller'];71676;48622278;Ghost Rider: Spirit of Vengeance;47;1135;briantaylor
807;['drama', 'history', 'romance'];1722;9061866;Captain Corelli's Mandolin;55;145;johnmadden
808;['action', 'comedy', 'drama'];10022;354763;The Pacifier;58;842;adamshankman
809;['adventure', 'drama', 'action'];11358;23438398;Walking Tall;60;381;kevinbray
810;['comedy', 'drama', 'romance'];13;138133331;Forrest Gump;82;7927;robertzemeckis
811;['comedy', 'music', 'family'];6477;4,7336E+16;Alvin and the Chipmunks;55;1177;timhill
812;['comedy', 'romance'];1597;2,99722E+16;Meet the Parents;66;1698;jayroach
813;['adventure', 'animation', 'drama'];10530;4,78456E+16;Pocahontas;67;1457;mikegabriel
814;['action', 'adventure', 'fantasy'];1924;48507081;Superman;69;1022;richarddonner
815;['fantasy', 'comedy', 'romance'];9327;2028119;The Nutty Professor;54;702;tomshadyac
816;['comedy', 'drama', 'romance'];8488;34576913;Hitch;64;1665;andytennant
817;['adventure', 'comedy', 'family'];10603;22573237;George of the Jungle;54;496;samweisman
818;['comedy', 'romance'];8273;36194802;American Wedding;60;1129;jessedylan
819;['action', 'drama', 'thriller'];109424;52786917;Captain Phillips;76;2454;paulgreengrass
820;['comedy'];35056;3,80617E+16;Date Night;59;1122;shawnlevy
821;['fantasy', 'comedy', 'family'];8839;19830132;Casper;60;1019;bradsilberling
822;['thriller', 'action', 'crime'];156022;7,99221E+15;The Equalizer;71;2954;antoinefuqua
823;['comedy', 'drama', 'romance'];7303;19738215;Maid in Manhattan;56;485;waynewang
824;['action', 'thriller', 'drama'];8963;20334629;Crimson Tide;70;498;tonyscott
825;['drama'];1402;80581367;The Pursuit of Happyness;77;2525;gabrielemuccino
826;['thriller', 'drama', 'mystery'];9315;3205145;Flightplan;61;772;robertschwentke
827;['drama', 'thriller', 'crime'];8984;15064058;Disclosure;59;210;barrylevinson
828;['drama', 'fantasy', 'romance'];795;21272734;City of Angels;64;529;bradsilberling
829;['action', 'crime'];24;7,9755E+15;Kill Bill: Vol. 1;77;4949;quentintarantino
830;['comedy'];11353;13191829;Bowfinger;60;254;frankoz
831;['action', 'crime', 'thriller'];393;50622607;Kill Bill: Vol. 2;76;3948;quentintarantino
832;['action', 'adventure', 'comedy'];9618;2,27877E+16;Tango & Cash;61;458;andreikonchalovsky
833;['fantasy', 'comedy'];9374;2,94983E+16;Death Becomes Her;63;636;robertzemeckis
834;['adventure', 'action', 'comedy'];8584;25400935;Shanghai Noon;62;735;tomdey
835;['action', 'adventure', 'drama'];2320;17231675;Executive Decision;58;256;stuartbaird
836;['comedy', 'family'];58224;32835777;Mr. Popper's Penguins;57;751;markwaters
837;['action', 'adventure', 'fantasy'];1729;17097041;The Forbidden Kingdom;63;461;robminkoff
838;['animation', 'comedy', 'family'];175574;14414937;Free Birds;57;254;jimmyhayward
839;['sciencefiction', 'action', 'horror'];8077;45856409;AlienÂ³;62;1633;davidfincher
840;['history', 'drama', 'music'];8818;7027139;Evita;59;120;alanparker
841;['action', 'thriller', 'crime'];8195;32657488;Ronin;67;658;johnfrankenheimer
842;['adventure'];10586;1246525;The Ghost and the Darkness;64;236;stephenhopkins
843;['family', 'comedy'];116149;39882276;Paddington;70;883;paulking
844;['comedy'];80035;39395881;The Watch;53;881;akivaschaffer
845;['drama', 'action', 'thriller'];10632;8,63495E+15;The Hunted;60;189;williamfriedkin
846;['drama', 'mystery', 'thriller'];12117;7386394;Instinct;62;146;jonturteltaub
847;['comedy'];1792;8802525;Stuck on You;51;188;bobbyfarrelly
848;['comedy'];13260;10449975;Semi-Pro;54;251;kentalterman
849;['animation', 'adventure', 'family'];72197;2,37008E+16;The Pirates! In an Adventure with Scientists!;64;374;peterlord
850;['crime', 'drama', 'mystery'];3580;2,75092E+16;Changeling;73;1131;clinteastwood
851;['action', 'drama', 'sciencefiction'];12123;2,05886E+16;Chain Reaction;53;284;andrewdavis
852;['drama', 'mystery', 'thriller'];9566;4,36649E+16;The Fan;57;194;tonyscott
853;['thriller', 'drama', 'romance'];9833;18927463;The Phantom of the Opera;70;438;joelschumacher
854;['drama', 'history', 'romance'];4517;15274137;Elizabeth: The Golden Age;66;303;shekharkapur
855;['action', 'sciencefiction'];8202;2,99543E+16;Ã†on Flux;54;703;karynkusama
856;['drama', 'history', 'war'];16072;4362535;Gods and Generals;61;48;ronaldf.maxwell
857;['action', 'thriller', 'crime'];34314;4700024;Turbulence;52;62;robertbutler
858;['comedy'];19724;12340384;Imagine That;57;134;kareykirkpatrick
859;['comedy', 'adventure', 'crime'];145220;1,48083E+16;Muppets Most Wanted;62;316;jamesbobin
860;['action', 'adventure', 'comedy'];14623;927875;Thunderbirds;42;91;jonathanfrakes
861;['drama', 'romance'];42297;22863516;Burlesque;69;573;steveantin
862;['drama'];2841;2305451;A Very Long Engagement;71;346;jean-pierrejeunet
863;['drama', 'romance'];802;2,39621E+16;Lolita;73;395;stanleykubrick
864;['action', 'thriller'];10375;1,26698E+16;D-Tox;53;123;jimgillespie
865;['fantasy', 'horror', 'action'];36586;6,71696E+15;Blade II;62;1528;guillermodeltoro
866;['drama'];11321;41472404;Seven Pounds;75;2039;gabrielemuccino
867;['action', 'crime', 'thriller'];70074;2,25039E+16;Bullet to the Head;52;481;walterhill
868;['crime', 'drama', 'thriller'];242;59194915;The Godfather: Part III;71;1546;francisfordcoppola
869;['comedy', 'drama', 'romance'];9621;22894898;Elizabethtown;61;327;cameroncrowe
870;['comedy', 'romance'];1819;1,86004E+16;You, Me and Dupree;54;407;anthonyrusso
871;['action', 'adventure', 'fantasy'];8536;30515175;Superman II;65;629;richardlester
872;['drama'];8046;9053456;Gigli;35;104;martinbrest
873;['drama', 'thriller'];1717;7768223;All the King's Men;57;95;stevenzaillian
874;['action', 'adventure', 'crime'];479;19643365;Shaft;55;308;johnsingleton
875;['animation', 'family'];9444;4,55659E+16;Anastasia;74;1432;garygoldman
876;['drama', 'music', 'romance'];824;57374341;Moulin Rouge!;74;1300;bazluhrmann
877;['mystery', 'thriller', 'crime'];11456;8,41856E+15;Domestic Disturbance;54;113;haroldbecker
878;['crime', 'drama'];261023;46049902;Black Mass;63;1242;scottcooper
879;['war', 'drama', 'history'];3683;239366;Flags of Our Fathers;67;526;clinteastwood
880;['drama', 'crime', 'thriller'];22803;49593978;Law Abiding Citizen;72;1486;f.garygray
881;['thriller', 'action', 'horror'];285923;16637642;Grindhouse;68;459;robertrodriguez
882;['drama', 'thriller'];39437;1453765;Beloved;59;26;jonathandemme
883;['drama', 'romance'];1950;6162872;Lucky You;54;81;curtishanson
884;['drama', 'crime'];640;7,3944E+15;Catch Me If You Can;77;3795;stevenspielberg
885;['thriller', 'drama', 'history'];97630;38306954;Zero Dark Thirty;67;1702;kathrynbigelow
886;['romance', 'comedy'];9767;2,62512E+16;The Break-Up;56;832;peytonreed
887;['comedy', 'romance'];11631;30780599;Mamma Mia!;64;1386;phyllidalloyd
888;['comedy', 'romance'];32856;2541929;Valentine's Day;57;1013;garrymarshall
889;['action', 'adventure', 'comedy'];6519;1,59821E+16;The Dukes of Hazzard;51;316;jaychandrasekhar
890;['drama', 'history', 'war'];8741;40072583;The Thin Red Line;72;771;terrencemalick
891;['comedy'];49520;3,20155E+16;The Change-Up;59;736;daviddobkin
892;['comedy', 'drama', 'romance'];1850;24444186;Man on the Moon;69;435;miloÅ¡forman
893;['drama', 'crime'];524;4006688;Casino;78;1307;martinscorsese
894;['action', 'crime', 'thriller'];26389;27916284;From Paris with Love;61;675;pierremorel
895;['action', 'comedy', 'fantasy'];11817;1,52071E+16;Bulletproof Monk;51;278;paulhunter
896;['comedy'];2123;39001682;Me, Myself & Irene;61;927;bobbyfarrelly
897;['animation', 'comedy', 'family'];9907;10430832;Barnyard;53;225;steveoedekerk
898;['comedy', 'family'];9969;5952527;Deck the Halls;51;109;johnwhitesell
899;['adventure', 'fantasy', 'drama'];18239;94815867;The Twilight Saga: New Moon;56;2436;chrisweitz
900;['adventure', 'animation', 'comedy'];808;67298732;Shrek;73;4056;andrewadamson
901;['sciencefiction', 'thriller', 'romance'];38050;2660772;The Adjustment Bureau;65;1652;georgenolfi
902;['adventure'];8367;2,88037E+16;Robin Hood: Prince of Thieves;66;909;kevinreynolds
903;['comedy', 'drama', 'romance'];9390;2,70396E+16;Jerry Maguire;67;913;cameroncrowe
904;['comedy', 'fantasy'];72105;6887691;Ted;63;4697;sethmacfarlane
905;['comedy', 'romance'];2898;37885022;As Good as It Gets;72;915;jamesl.brooks
906;['comedy', 'drama'];10312;35537397;Patch Adams;70;832;tomshadyac
907;['comedy'];109443;38125008;Anchorman 2: The Legend Continues;60;923;adammckay
908;['comedy', 'romance'];2022;1,81214E+16;Mr. Deeds;56;644;stevenbrill
909;['thriller', 'sciencefiction', 'mystery'];37686;37069253;Super 8;66;2435;j.j.abrams
910;['drama'];462;30347332;Erin Brockovich;71;716;stevensoderbergh
911;['comedy', 'romance'];9919;2,38547E+16;How to Lose a Guy in 10 Days;63;850;donaldpetrie
912;['crime', 'comedy', 'action'];187017;52380982;22 Jump Street;70;3319;phillord
913;['horror', 'romance'];628;50163785;Interview with the Vampire;72;1516;neiljordan
914;['comedy'];10201;43849351;Yes Man;64;1813;peytonreed
915;['action', 'comedy'];302699;45318703;Central Intelligence;62;1650;rawsonmarshallthurber
916;['drama', 'romance'];9441;1,63683E+16;Stepmom;69;277;chriscolumbus
917;['comedy'];274167;38616744;Daddy's Home;58;854;seananders
918;['fantasy', 'comedy', 'music'];224141;6,59016E+15;Into the Woods;56;1652;robmarshall
919;['crime', 'drama', 'thriller'];388;45220386;Inside Man;73;1630;spikelee
920;['drama', 'action', 'thriller'];2112;17457947;Payback;67;548;brianhelgeland
921;['action', 'adventure', 'drama'];10329;10755847;Congo;50;213;frankmarshall
922;['drama', 'comedy', 'family'];74465;38629763;We Bought a Zoo;65;909;cameroncrowe
923;['action', 'adventure', 'drama'];13811;32693093;Knowing;59;1486;alexproyas
924;['comedy'];6877;18806031;Failure to Launch;55;399;tomdey
925;['drama', 'horror', 'thriller'];10320;32233713;The Ring Two;54;632;hideonakata
926;['comedy', 'drama', 'romance'];50646;37990705;Crazy, Stupid, Love.;70;2443;glennficarra
927;['animation', 'comedy', 'family'];8920;17667826;Garfield;52;820;peterhewitt
928;['comedy', 'family'];13673;9225166;Christmas with the Kranks;52;193;joeroth
929;['drama'];60308;46180421;Moneyball;70;1381;bennettmiller
930;['action', 'drama', 'sciencefiction'];6950;3,03975E+16;Outbreak;63;513;wolfgangpetersen
931;['action', 'thriller', 'mystery'];225574;83295796;Non-Stop;68;2268;jaumecollet-serra
932;['adventure', 'family', 'fantasy'];13836;23935053;Race to Witch Mountain;55;509;andyfickman
933;['action', 'thriller', 'fantasy'];752;84630969;V for Vendetta;77;4442;jamesmcteigue
934;['action', 'adventure', 'comedy'];6038;16251204;Shanghai Knights;60;692;daviddobkin
935;['adventure', 'animation', 'comedy'];9975;9894346;Curious George;62;106;matthewo'callaghan
936;['comedy', 'family', 'adventure'];11451;12050755;Herbie Fully Loaded;51;542;angelarobinson
937;['thriller'];12103;1,15962E+16;Don't Say a Word;60;220;garyfleder
938;['fantasy', 'horror', 'action'];60304;5,30279E+15;Hansel & Gretel: Witch Hunters;57;3239;tommywirkola
939;['thriller', 'drama'];2251;14382253;Unfaithful;63;276;adrianlyne
940;['action', 'thriller', 'sciencefiction'];46529;43450266;I Am Number Four;59;1567;d.j.caruso
941;['drama', 'thriller'];231;16871194;Syriana;63;451;stephengaghan
942;['action', 'drama', 'history'];300671;42526529;13 Hours: The Secret Soldiers of Benghazi;70;938;michaelbay
943;['romance', 'animation', 'adventure'];228326;34890999;The Book of Life;73;755;jorger.gutierrez
944;['thriller'];9754;1,8186E+16;Firewall;56;267;richardloncraine
945;['crime', 'drama', 'thriller'];66;13576765;Absolute Power;64;223;clinteastwood
946;['action', 'drama'];4421;19434672;G.I. Jane;60;395;ridleyscott
947;['drama', 'thriller', 'mystery'];2649;62925175;The Game;75;1506;davidfincher
948;['horror', 'mystery'];588;32927994;Silent Hill;63;1067;christophegans
949;['comedy'];10393;1,48373E+16;The Replacements;61;203;howarddeutch
950;['comedy'];71552;39920035;American Reunion;61;1611;jonhurwitz
951;['action', 'adventure', 'crime'];9631;2,87256E+16;The Negotiator;68;582;f.garygray
952;['action', 'thriller'];216282;20566554;Into the Storm;58;817;stevenquale
953;['action', 'comedy', 'crime'];306;20333953;Beverly Hills Cop III;55;434;johnlandis
954;['comedy', 'horror', 'fantasy'];928;3398637;Gremlins 2: The New Batch;62;652;joedante
955;['drama'];205587;42472324;The Judge;72;1417;daviddobkin
956;['action', 'thriller'];6623;15931084;The Peacemaker;58;255;mimileder
957;['horror', 'action', 'sciencefiction'];1577;2,98801E+16;Resident Evil: Apocalypse;61;1267;alexanderwitt
958;['comedy', 'romance'];9801;28803802;Bridget Jones: The Edge of Reason;61;750;beebankidron
959;['thriller', 'crime', 'drama'];2116;14993459;Out of Time;61;298;carlfranklin
960;['action', 'thriller'];9624;9114168;On Deadly Ground;45;104;stevenseagal
961;['adventure', 'family', 'sciencefiction'];14199;1,2311E+16;The Adventures of Sharkboy and Lavagirl;44;269;robertrodriguez
962;['drama', 'adventure', 'romance'];1907;41362082;The Beach;63;1233;dannyboyle
963;['drama', 'comedy', 'romance'];4599;13298205;Raising Helen;59;189;garrymarshall
964;['action', 'crime', 'thriller'];22832;19085403;Ninja Assassin;62;371;jamesmcteigue
965;['drama', 'romance'];10390;9622345;For Love of the Game;63;88;samraimi
966;['drama', 'thriller', 'crime'];9879;1,1106E+16;Striptease;44;205;andrewbergman
967;['family', 'comedy'];38579;1,22562E+16;Marmaduke;50;149;tomdey
968;['drama', 'fantasy'];44603;13365715;Hereafter;58;510;clinteastwood
969;['crime', 'drama', 'thriller'];11892;1,61671E+16;Murder by Numbers;60;268;barbetschroeder
970;['action', 'adventure', 'crime'];9691;23073933;Assassins;60;387;richarddonner
